"Code","Libellé"
"CE-1-1","En contrat d'apprentissage ou de professionnalisation"
"CE-1-2","Placés par une agence d'intérim"
"CE-1-3","Emplois aidés (contrat unique d'insertion, d'initiative emploi, d'accompagnement dans l'emploi, avenir, etc.)"
"CE-1-4","Stagiaires rémunérés en entreprise"
"CE-1-5","Autres emplois à durée limitée, CDD, contrat court, saisonnier, vacataire, etc."
"CE-1-6","Emplois sans limite de durée, CDI, titulaire de la fonction publique"
"CE-2-1","Non salariés : Indépendants"
"CE-2-2","Non salariés : Employeurs"
"CE-2-3","Non salariés : Aides familiaux"
